"first_name","last_name","title","description"
"Adam","Grant","Midnight Westward","A Taut Reflection of a Husband And a A Shark who must Redeem a Pastry Chef in A Monastery"
"Adam","Grant","Loser Hustler","A Stunning Drama of a Robot And a Feminist who must Outgun a Butler in Nigeria"
"Adam","Hopper","Clueless Bucket","A Taut Tale of a Car And a Pioneer who must Conquer a Sumo Wrestler in An Abandoned Fun House"
"Adam","Hopper","Fiction Christmas","A Emotional Yarn of a A Shark And a Student who must Battle a Robot in An Abandoned Mine Shaft"
"Adam","Hopper","Gables Metropolis","A Fateful Display of a Cat And a Pioneer who must Challenge a Pastry Chef in A Baloon Factory"
"Adam","Hopper","Grease Youth","A Emotional Panorama of a Secret Agent And a Waitress who must Escape a Composer in Soviet Georgia"
"Adam","Hopper","Heaven Freedom","A Intrepid Story of a Butler And a Car who must Vanquish a Man in New Orleans"
"Adam","Hopper","Loverboy Attacks","A Boring Story of a Car And a Butler who must Build a Girl in Soviet Georgia"
"Adam","Hopper","Masked Bubble","A Fanciful Documentary of a Pioneer And a Boat who must Pursue a Pioneer in An Abandoned Mine Shaft"
"Adam","Hopper","Mockingbird Hollywood","A Thoughtful Panorama of a Man And a Car who must Sink a Composer in Berlin"
"Adam","Hopper","Noon Papi","A Unbelieveable Character Study of a Mad Scientist And a Astronaut who must Find a Pioneer in A Manhattan Penthouse"
"Adam","Hopper","Open African","A Lacklusture Drama of a Secret Agent And a Explorer who must Discover a Car in A U-Boat"
"Adam","Hopper","Princess Giant","A Thrilling Yarn of a Pastry Chef And a Monkey who must Battle a Monkey in A Shark Tank"
"Adam","Hopper","Saddle Antitrust","A Stunning Epistle of a Feminist And a A Shark who must Battle a Woman in An Abandoned Fun House"
"Adam","Hopper","Sleepy Japanese","A Emotional Epistle of a Moose And a Composer who must Fight a Technical Writer in The Outback"
"Adam","Hopper","Torque Bound","A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan"
"Adam","Hopper","Towers Hurricane","A Fateful Display of a Monkey And a Car who must Sink a Husband in A MySQL Convention"
"Adam","Hopper","Train Bunch","A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India"
"Adam","Hopper","Vacation Boondock","A Fanciful Character Study of a Secret Agent And a Mad Scientist who must Reach a Teacher in Australia"
"Adam","Hopper","Words Hunter","A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention"
"Adam","Grant","Mars Roman","A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia"
"Adam","Grant","Disciple Mother","A Touching Reflection of a Mad Scientist And a Boat who must Face a Moose in A Shark Tank"
"Adam","Grant","Fireball Philadelphia","A Amazing Yarn of a Dentist And a A Shark who must Vanquish a Madman in An Abandoned Mine Shaft"
"Adam","Grant","Gladiator Westward","A Astounding Reflection of a Squirrel And a Sumo Wrestler who must Sink a Dentist in Ancient Japan"
"Adam","Grant","Idols Snatchers","A Insightful Drama of a Car And a Composer who must Fight a Man in A Monastery"
"Adam","Grant","Happiness United","A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan"
"Adam","Grant","Operation Operation","A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China"
"Adam","Grant","Seabiscuit Punk","A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention"
"Adam","Grant","Splendor Patton","A Taut Story of a Dog And a Explorer who must Find a Astronaut in Berlin"
"Adam","Grant","Annie Identity","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park"
"Adam","Grant","Ballroom Mockingbird","A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California"
"Adam","Hopper","Blindness Gun","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat"
"Adam","Hopper","Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse"
"Adam","Hopper","Chamber Italian","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Adam","Hopper","Clerks Angels","A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon"
"Adam","Grant","Tadpole Park","A Beautiful Tale of a Frisbee And a Moose who must Vanquish a Dog in An Abandoned Amusement Park"
"Adam","Grant","Twisted Pirates","A Touching Display of a Frisbee And a Boat who must Kill a Girl in A MySQL Convention"
"Adam","Grant","Wanda Chamber","A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback"
"Adam","Grant","Groundhog Uncut","A Brilliant Panorama of a Astronaut And a Technical Writer who must Discover a Butler in A Manhattan Penthouse"
"Adam","Grant","Glory Tracy","A Amazing Saga of a Woman And a Womanizer who must Discover a Cat in The First Manned Space Station"
"Al","Garland","Enough Raging","A Astounding Character Study of a Boat And a Secret Agent who must Find a Mad Cow in The Sahara Desert"
"Al","Garland","Drifter Commandments","A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat"
"Al","Garland","Dalmations Sweden","A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse"
"Al","Garland","Oscar Gold","A Insightful Tale of a Database Administrator And a Dog who must Face a Madman in Soviet Georgia"
"Al","Garland","Park Citizen","A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan"
"Al","Garland","Potter Connecticut","A Thrilling Epistle of a Frisbee And a Cat who must Fight a Technical Writer in Berlin"
"Al","Garland","Rock Instinct","A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India"
"Al","Garland","Sense Greek","A Taut Saga of a Lumberjack And a Pastry Chef who must Escape a Sumo Wrestler in An Abandoned Fun House"
"Al","Garland","Silverado Goldfinger","A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India"
"Al","Garland","Sleuth Orient","A Fateful Character Study of a Husband And a Dog who must Find a Feminist in Ancient India"
