"first_name","last_name","number_of_films"
"Adam","Hopper","22"
"Adam","Grant","18"
"Al","Garland","26"
"Alan","Dreyfuss","27"
"Albert","Nolte","31"
"Albert","Johansson","33"
"Alec","Wayne","29"
"Angela","Witherspoon","35"
"Angela","Hudson","34"
"Angelina","Astaire","31"
"Anne","Cronyn","27"
"Audrey","Bailey","27"
"Audrey","Olivier","25"
"Bela","Walken","30"
"Ben","Willis","33"
"Ben","Harris","23"
"Bette","Nicholson","20"
"Bob","Fawcett","25"
"Burt","Dukakis","29"
"Burt","Posey","24"
"Burt","Temple","23"
"Cameron","Streep","24"
"Cameron","Zellweger","33"
"Cameron","Wray","19"
"Carmen","Hunt","26"
"Cary","Mcconaughey","24"
"Cate","Mcqueen","30"
"Cate","Harris","28"
"Charlize","Dench","24"
"Chris","Bridges","27"
"Chris","Depp","20"
"Christian","Akroyd","32"
"Christian","Neeson","25"
"Christian","Gable","22"
"Christopher","West","21"
"Christopher","Berry","20"
"Cuba","Birch","24"
"Cuba","Olivier","28"
"Cuba","Allen","25"
"Dan","Streep","24"
"Dan","Torn","22"
"Dan","Harris","28"
"Daryl","Crawford","30"
"Daryl","Wahlberg","31"
"Debbie","Akroyd","24"
"Dustin","Tautou","27"
"Ed","Guiness","29"
"Ed","Mansfield","32"
"Ed","Chase","22"
"Ellen","Presley","25"
"Elvis","Marx","26"
"Emily","Dee","14"
"Ewan","Gooding","33"
"Fay","Wood","22"
"Fay","Kilmer","20"
"Fay","Winslet","31"
"Frances","Tomei","23"
"Frances","Day-Lewis","26"
"Fred","Costner","27"
"Gary","Penn","26"
"Gary","Phoenix","25"
"Gene","Mckellen","27"
"Gene","Willis","23"
"Gene","Hopkins","22"
"Geoffrey","Heston","26"
"Gina","Degeneres","42"
"Goldie","Brody","28"
"Grace","Mostel","30"
"Greg","Chaplin","27"
"Gregory","Gooding","30"
"Greta","Keitel","27"
"Greta","Malden","32"
"Groucho","Sinatra","26"
"Groucho","Williams","25"
"Groucho","Dunst","35"
"Harrison","Bale","28"
"Harvey","Hope","32"
"Helen","Voight","32"
"Henry","Berry","35"
"Humphrey","Garland","29"
"Humphrey","Willis","26"
"Ian","Tandy","31"
"Jada","Ryder","31"
"James","Pitt","31"
"Jane","Jackman","25"
"Jayne","Silverstone","27"
"Jayne","Neeson","29"
"Jayne","Nolte","34"
"Jeff","Silverstone","25"
"Jennifer","Davis","22"
"Jessica","Bailey","23"
"Jim","Mostel","26"
"Jodie","Degeneres","29"
"Joe","Swank","25"
"John","Suvari","29"
"Johnny","Cage","29"
"Johnny","Lollobrigida","29"
"Jon","Chase","29"
"Jude","Cruise","30"
"Judy","Dean","15"
"Julia","Barrymore","24"
"Julia","Fawcett","15"
"Julia","Mcqueen","33"
"Julia","Zellweger","16"
"Julianne","Dench","32"
"Karl","Berry","31"
"Kenneth","Paltrow","21"
"Kenneth","Pesci","20"
"Kenneth","Hoffman","29"
"Kenneth","Torn","33"
"Kevin","Bloom","21"
"Kevin","Garland","33"
"Kim","Allen","28"
"Kirk","Jovovich","26"
"Kirsten","Paltrow","27"
"Kirsten","Akroyd","34"
"Laura","Brody","26"
"Laurence","Bullock","26"
"Lisa","Monroe","23"
"Liza","Bergman","25"
"Lucille","Dee","24"
"Lucille","Tracy","30"
"Mae","Hoffman","28"
"Mary","Tandy","31"
"Mary","Keitel","40"
"Matthew","Johansson","20"
"Matthew","Leigh","30"
"Matthew","Carrey","39"
"Meg","Hawke","27"
"Mena","Hopper","24"
"Mena","Temple","30"
"Meryl","Allen","22"
"Meryl","Gibson","28"
"Michael","Bening","24"
"Michael","Bolger","30"
"Michelle","Mcconaughey","23"
"Milla","Keitel","28"
"Milla","Peck","24"
"Minnie","Kilmer","20"
"Minnie","Zellweger","31"
"Morgan","Williams","27"
"Morgan","Mcdormand","25"
"Morgan","Hopkins","27"
"Natalie","Hopkins","32"
"Nick","Degeneres","22"
"Nick","Wahlberg","25"
"Nick","Stallone","30"
"Olympia","Pfeiffer","28"
"Oprah","Kilmer","25"
"Parker","Goldberg","24"
"Penelope","Guiness","19"
"Penelope","Pinkett","25"
"Penelope","Cronyn","31"
"Penelope","Monroe","27"
"Ralph","Cruz","28"
"Ray","Johansson","30"
"Reese","West","33"
"Reese","Kilmer","32"
"Renee","Tracy","33"
"Renee","Ball","33"
"Richard","Penn","30"
"Rip","Winslet","30"
"Rip","Crawford","33"
"Rita","Reynolds","20"
"River","Dean","31"
"Rock","Dukakis","30"
"Russell","Temple","31"
"Russell","Bacall","25"
"Russell","Close","19"
"Salma","Nolte","25"
"Sandra","Kilmer","37"
"Sandra","Peck","19"
"Scarlett","Damon","36"
"Scarlett","Bening","26"
"Sean","Williams","26"
"Sean","Guiness","33"
"Sidney","Crowe","34"
"Sissy","Sobieski","18"
"Spencer","Depp","24"
"Spencer","Peck","21"
"Susan","Davis","33"
"Susan","Davis","21"
"Sylvester","Dern","22"
"Thora","Temple","20"
"Tim","Hackman","23"
"Tom","Mckellen","25"
"Tom","Miranda","27"
"Uma","Wood","35"
"Val","Bolger","35"
"Vivien","Basinger","35"
"Vivien","Bergen","30"
"Walter","Torn","41"
"Warren","Jackman","32"
"Warren","Nolte","34"
"Whoopi","Hurt","32"
"Will","Wilson","31"
"William","Hackman","27"
"Woody","Hoffman","31"
"Woody","Jolie","31"
"Zero","Cage","25"
