"count","country"
"0","Australia"
"1","Iraq"
"1","Gambia"
"1","Ethiopia"
"1","Estonia"
"1","Slovakia"
"1","Nepal"
"1","Sri Lanka"
"1","Nauru"
"1","Armenia"
"1","Senegal"
"1","American Samoa"
"1","Greenland"
"1","Zambia"
"1","Moldova"
"1","Hong Kong"
"1","Kuwait"
"1","Madagascar"
"1","Brunei"
"1","Anguilla"
"1","Finland"
"1","Malawi"
"1","Hungary"
"1","Saint Vincent and the Grenadines"
"1","Runion"
"1","Tunisia"
"1","Turkmenistan"
"1","Tuvalu"
"1","Liechtenstein"
"1","Czech Republic"
"1","North Korea"
"1","Sweden"
"1","Holy See (Vatican City State)"
"1","Lithuania"
"1","New Zealand"
"1","Afghanistan"
"1","Chad"
"1","Tonga"
"1","Bahrain"
"1","Faroe Islands"
"1","French Guiana"
"1","Virgin Islands, U.S."
"2","Latvia"
"2","Belarus"
"2","Oman"
"2","Cameroon"
"2","Congo, The Democratic Republic of the"
"2","Cambodia"
"2","Myanmar"
"2","Sudan"
"2","Bulgaria"
"2","Yugoslavia"
"2","Azerbaijan"
"2","Greece"
"2","Puerto Rico"
"2","Angola"
"2","French Polynesia"
"2","Bolivia"
"2","Romania"
"2","Kenya"
"2","Kazakstan"
"3","Algeria"
"3","Bangladesh"
"3","Dominican Republic"
"3","Thailand"
"3","Chile"
"3","Malaysia"
"3","Mozambique"
"3","Switzerland"
"3","Ecuador"
"3","Paraguay"
"3","Austria"
"3","United Arab Emirates"
"3","Morocco"
"3","Tanzania"
"4","Peru"
"4","France"
"4","Yemen"
"4","Israel"
"5","Pakistan"
"5","Saudi Arabia"
"5","South Korea"
"5","Spain"
"5","Netherlands"
"5","Canada"
"6","Egypt"
"6","Colombia"
"6","Ukraine"
"6","Vietnam"
"7","Venezuela"
"7","Italy"
"7","Germany"
"8","Poland"
"8","Iran"
"9","United Kingdom"
"10","Taiwan"
"11","South Africa"
"13","Argentina"
"13","Nigeria"
"14","Indonesia"
"15","Turkey"
"20","Philippines"
"28","Russian Federation"
"28","Brazil"
"30","Mexico"
"31","Japan"
"36","United States"
"53","China"
"60","India"
