"film_id","length","maximum_length","minimum_length"
133,117,185,46
384,49,185,46
8,54,185,46
98,73,185,46
1,86,185,46
2,48,185,46
3,50,185,46
4,117,185,46
5,130,185,46
6,169,185,46
7,62,185,46
9,114,185,46
10,63,185,46
11,126,185,46
12,136,185,46
213,104,185,46
13,150,185,46
14,94,185,46
15,46,185,46
16,180,185,46
17,82,185,46
18,57,185,46
19,113,185,46
20,79,185,46
21,129,185,46
22,85,185,46
23,92,185,46
24,181,185,46
25,74,185,46
26,86,185,46
27,179,185,46
28,91,185,46
29,168,185,46
30,82,185,46
31,92,185,46
32,119,185,46
33,153,185,46
34,62,185,46
35,147,185,46
36,127,185,46
37,121,185,46
38,68,185,46
39,99,185,46
40,148,185,46
41,137,185,46
42,170,185,46
265,168,185,46
43,170,185,46
44,113,185,46
45,83,185,46
46,108,185,46
47,153,185,46
48,118,185,46
49,162,185,46
50,182,185,46
126,179,185,46
51,75,185,46
52,173,185,46
53,87,185,46
54,113,185,46
55,65,185,46
56,129,185,46
57,90,185,46
58,122,185,46
59,160,185,46
60,89,185,46
61,175,185,46
62,106,185,46
63,73,185,46
64,151,185,46
65,100,185,46
66,53,185,46
67,77,185,46
68,122,185,46
69,85,185,46
70,142,185,46
71,100,185,46
72,93,185,46
73,150,185,46
74,162,185,46
75,163,185,46
76,103,185,46
77,61,185,46
78,85,185,46
79,114,185,46
80,148,185,46
81,103,185,46
82,71,185,46
83,50,185,46
84,102,185,46
85,63,185,46
86,121,185,46
87,76,185,46
88,179,185,46
89,63,185,46
90,63,185,46
91,98,185,46
92,72,185,46
93,121,185,46
94,176,185,46
95,123,185,46
96,169,185,46
97,56,185,46
99,136,185,46
100,161,185,46
101,73,185,46
102,60,185,46
103,133,185,46
104,119,185,46
105,125,185,46
106,61,185,46
107,63,185,46
108,67,185,46
109,89,185,46
110,53,185,46
111,52,185,46
112,120,185,46
113,75,185,46
114,61,185,46
115,167,185,46
116,70,185,46
117,135,185,46
118,85,185,46
119,176,185,46
120,92,185,46
121,151,185,46
